,sentence,cluster,distance_from_cluster_center,deviation_from_mean_dist_from_center,cluster_distance_std_from_center
0,hello,10,0.9982400858237978,3.392152144787719e-05,9.60678253491835e-05
1,hello,10,0.9982400858237978,3.392152144787719e-05,9.60678253491835e-05
2,if you can vote that means you must be in the mafia.,59,0.9947558024580124,0.00021401858101577353,0.0006634340364248014
3,looks like this should be a win for the mafia if i'm eliminated,59,0.9945721440889252,0.00039767695010295423,0.0006634340364248014
4,??,84,0.9209865005041871,0.00017548493093688666,0.007361652383567076
5,i'm legitimately ignorant but ok,99,0.9596163955100804,0.0076283351856001325,0.011233375782190714
6,"i don't really understand how we're supposed to know who to vote for, i just chose firstname lastname at random..",20,0.8025729246133289,0.04450641651040066,0.12742356919596573
7,"right, and he said he chose byrce",33,0.9898887797567565,0.005333198004895956,0.0029499722212482054
8,you couldn't have chosen firstname in the last phase as a bystander,46,0.8874945571046717,0.009967256493669585,0.019604320906268947
9,hi,3,0.9999999524373366,4.6670493025757764e-09,3.801308636795539e-08
10,hi,3,0.9999999524373366,4.6670493025757764e-09,3.801308636795539e-08
11,sure,51,0.97505447754612,0.003468110589949558,0.0035668506079479297
12,"yeah tons of errors in console, oh well messaging req",87,0.8895155991232647,0.08324911044968142,0.05430370671497275
13,hey,11,0.19949824986211664,0.13963206899005245,0.2255175933785597
14,"nice, the feigning ignorance angle",99,0.963504504500314,0.011516444175833751,0.011233375782190714
15,:),66,0.8291640970224949,0.04255849638430542,0.03630816106266816
16,lol,6,0.8629278810275653,0.005801551581666176,0.015226810279332762
17,"i say we leave up firstname, his shtick is too terrible",38,0.9999999172641346,1.4120621782964804e-08,4.443830107220432e-08
18,yeah perhaps vote her out,52,0.9817417446139888,0.004168347052771915,0.0022584809093201684
19,yo,49,1.1773602277789477,0.2749325569941914,0.23332272937932524
20,who shall we knock off first? firstname?,77,0.6397478293196948,0.08021100978690499,0.07045117828295144
21,"right. so, should we just sit back and let them eat themselves?",94,0.9866292070114915,0.0033611055546971524,0.0035384739643288476
22,hi,3,0.9999999524373366,4.6670493025757764e-09,3.801308636795539e-08
23,ok. nice being a criminal with you.,54,0.9479058666064226,0.00043262256585208103,0.01173577092837348
24,firstname is too wise,17,0.984455829957252,0.0006058986167387648,0.0011995359741607035
25,firstname lastname said only hello,29,0.9145240017164648,0.01735419073000688,0.011152078440496593
26,hi,3,0.9999999524373366,4.6670493025757764e-09,3.801308636795539e-08
27,that is not the lastname.,29,0.9162663650968714,0.019096554110413555,0.011152078440496593
28,"that's only in the nighttime, firstname.",38,0.9999999564632378,5.3319724968581284e-08,4.443830107220432e-08
29,has anyone not talked yet,21,0.809589959741172,0.06480441814984594,0.034088833744323414
30,and firstname i think,50,0.9834665024623439,0.0003278772269360575,0.0017317456183443601
31,is it stuck?,80,0.9754699460821911,0.004830604311655828,0.005344682721838321
32,rip,61,0.9973800409210442,0.0005231904625928596,0.0004004231617966437
33,somebody must have dropped or something,85,0.9742456643714346,0.0019905752921907105,0.004378653868800222
34,hard to tell. i have to keep scanning,88,0.8823308650242431,0.043996975322923015,0.044296930527068415
35,hello?,10,0.9984450389213284,0.00017103157608278075,9.60678253491835e-05
36,"or said very lastname, probably leave them for now",71,1.0305252704900338,0.1458811028525293,0.12963946403384116
37,yeah the timer got to zero but we aren't moving to daytime. ,80,0.9674734665560192,0.0031658752145160562,0.005344682721838321
38,bystander here,7,0.9999997870691445,4.540328024660312e-08,5.417537675638634e-08
39,i am a bystander too.,7,0.9999997951918942,3.728053055152003e-08,5.417537675638634e-08
40,bystander too.,7,0.9999998302697155,2.202709237231204e-09,5.417537675638634e-08
41,wow isn't that convenient,62,1.0186969081921837,0.20451744865693133,0.17322507983521485
42,right.,24,0.7440158019220363,0.04303315221887771,0.09127999212405609
43,noooooo,5,1.0178058449335752,0.16244607022901092,0.2946860553045414
44,firstname lastname was the first to accuse me. they are mafia,4,0.9909397770882086,0.0004966543505560139,0.0007902048539898131
45,rip me,61,0.9971689988255202,0.0007342325581167763,0.0004004231617966437
46,you guys just killed a bystander,7,0.9999998482419996,1.5769574868151892e-08,5.417537675638634e-08
47,i am a bystander. dont kill me,7,0.9999998516881206,1.9215695812313527e-08,5.417537675638634e-08
48,bystander here also,7,0.9999998362517014,3.779276669391152e-09,5.417537675638634e-08
49,"well, then... ",64,0.9726611720502583,0.0074977332404142505,0.0072827759095829125
50,hi ,3,0.9999999524373366,4.6670493025757764e-09,3.801308636795539e-08
51,who should we eliminate tonight? ,35,0.5187791197286733,0.020817999059733305,0.14858986104472496
52,sounds good to me. ,51,0.9823671968163217,0.0038446086802521595,0.0035668506079479297
53,"okay, so we're going to go with firstname?",17,0.9837276101825388,0.0013341183914519217,0.0011995359741607035
54,do we start with donna tomorrow? and try to get a trend going?,52,0.9893355966149625,0.0034255049482018185,0.0022584809093201684
55,i think firstname talks a lot and tries to confuse us. ,50,0.9823703734116271,0.0014240062776528228,0.0017317456183443601
56,"firstname lastname here, not a mafia member :)",4,0.9902271981640254,0.00021592457362717976,0.0007902048539898131
57,"firstname, it's about time you die",38,0.9999998975354965,5.608016384606174e-09,4.443830107220432e-08
58,holy crap they killed our only lead,94,0.9856271169063385,0.0023590154495441995,0.0035384739643288476
59,"i don't like firstname lastname, she seems to try to ply herself off.",38,0.9999999229754937,1.9831980835327556e-08,4.443830107220432e-08
60,"you guys are making a mistake killing me, i'm firstname lastname, the best bystander in the world",46,0.8890754901714807,0.008386323426860631,0.019604320906268947
61,oof,34,0.8006392548524307,0.010441484020782488,0.11250250148932063
62,firstname and firstname have to be the mafia based on the voting patterns.,4,0.9907548280273282,0.0003117052896756123,0.0007902048539898131
63,lol,6,0.8629278810275653,0.005801551581666176,0.015226810279332762
64,"i think so. because mafia know who the other mafia are, and probably wouldn't kill their own",40,0.7560814678897606,0.018100570561856322,0.08503115593173359
65,you guys are going to kill another bystander,7,0.9999999885698846,1.5609745984690448e-07,5.417537675638634e-08
66,i'm trying to help,63,0.8777873634597252,0.11557151647569697,0.09912567052953475
67,and i would've gotten away with it if it wasn't for you meddling kids :d,66,0.9434350690087073,0.07171247560190697,0.03630816106266816
68,"hi, all!",90,0.9776605624421831,0.00064121434031994,0.0011704258169573007
69,firstname?,22,0.9987454647891159,6.884900424553031e-05,0.00010996045521027704
70,me too!,15,0.4860892879621226,0.07773788518752911,0.16402510902448345
71,alright,13,0.7479943328918501,0.17860128010139442,0.26317258144691374
72,firstname was a bit too quick to throw firstname under the bus on day one though.,38,0.9999999498643042,4.67207913468215e-08,4.443830107220432e-08
73,and now firstname.,22,0.9989632781971923,0.00014896440383094234,0.00010996045521027704
74,guess it's all me then.,64,0.9534693691253696,0.011694069684474395,0.0072827759095829125
75,"firstname lastname, one woman army.",38,0.999999923708353,2.0564840164105647e-08,4.443830107220432e-08
76,stalking in the night.,30,0.9873334846009022,0.0030389072857543997,0.003702298783490418
77,eating some donuts.,30,0.988467022341036,0.004172445025888205,0.003702298783490418
78,"hi!, who do you want to elimate?",55,1.1732848257507618,0.24328545280013625,0.21782119477181203
79,hi all!,90,0.9761396422575025,0.0008797058443607009,0.0011704258169573007
80,you pick please,12,0.9531501056692371,0.012055029242851956,0.009194667309340447
81,hi,3,0.9999999524373366,4.6670493025757764e-09,3.801308636795539e-08
82,hello,10,0.9982400858237978,3.392152144787719e-05,9.60678253491835e-05
83,nice to meet everyone,0,1.5096111555769665,0.031113417205714144,0.11146757069160446
84,why are you guys picking before we talk about it?,33,0.9866895307826119,0.0021339490307513698,0.0029499722212482054
85,that's jet li,68,0.89872839410459,0.049095163853244084,0.04611008703408091
86,firstname lastname as in the failed politician? lol,9,1.961967780936633,0.0867194696489606,0.09260394480264153
87,she isn't talking sounds like a mob goon to me,82,0.9508606094227932,0.02094008345700593,0.08167809042223624
88,oh,27,0.5292941713308004,0.18216627774139138,0.11967304922544206
89,who do you want to select?,33,0.9805326865278788,0.004022895223981693,0.0029499722212482054
90,who was deleted in the day part?,85,0.9713775569018005,0.004858682761824773,0.004378653868800222
91,let's do firstname or firstname ,17,0.9846543615464628,0.0004073670275279717,0.0011995359741607035
92,firstname,22,0.9986897958519795,0.00012451794138190753,0.00010996045521027704
93,firstname then,22,0.9988606865033851,4.637271002372323e-05,0.00010996045521027704
94,good for me,61,0.9980068893957634,0.00010365801212641745,0.0004004231617966437
95,you are right my mistake,1,1.1613579940898455,0.17655231617817535,0.17869471510766582
96,why did you choose me,12,0.966186881439765,0.0009817465276760196,0.009194667309340447
97,firstname are you related to jet,50,0.9865327718704114,0.002738392181131477,0.0017317456183443601
98,i barra going to beat you up,54,0.9610324111048965,0.013559167064325917,0.01173577092837348
99,hello all,42,0.6062462437177075,0.04803534427180545,0.05028870661417128
100,i missed you guys,23,8.713529649839273,0.05595833132154304,0.13773266998090306
101,why'd the mob whack the person everyone was voting for they should've left him alive to distract from them,82,1.0219874931812505,0.09206696721546326,0.08167809042223624
102,i wonder if firstname lastname is related to firstname lastname the astronaut? ,50,0.9861890696213241,0.0023946899320441695,0.0017317456183443601
103,firstname lastname,29,0.8864944081672624,0.010675402819195434,0.011152078440496593
104,hi,3,0.9999999524373366,4.6670493025757764e-09,3.801308636795539e-08
105,firstname lastname,29,0.8864944081672624,0.010675402819195434,0.011152078440496593
106,what is happening,87,0.8261379040179674,0.01987141534438408,0.05430370671497275
107,"so far so good, but maybe we shouldn't have gotten rid of firstname so soon. my bad",38,0.9999999024511242,6.923885909060346e-10,4.443830107220432e-08
108,yeah that was bad,24,0.9027669142370288,0.11571796009611479,0.09127999212405609
109,you pick this time,12,0.9497589968308591,0.015446138081229965,0.009194667309340447
110,i already voted for firstname,20,0.5825223247364795,0.17554418336644873,0.12742356919596573
111,quick with the lastname vote already...,20,1.0384250986015784,0.2803585904986502,0.12742356919596573
112,hmmm again the mob did a no kill,82,0.9040697707154699,0.025850755250317325,0.08167809042223624
113,hi all!,90,0.9761396422575025,0.0008797058443607009,0.0011704258169573007
114,hmm,31,10.110213208016663,0.045600734721412906,0.06332899782991944
115,firstname was the first voter last time...,20,0.7488914356717545,0.009175072431173659,0.12742356919596573
116,day,30,0.9843390904685327,4.451315338493966e-05,0.003702298783490418
117,hi,3,0.9999999524373366,4.6670493025757764e-09,3.801308636795539e-08
118,nice to meet you all,0,1.3752292211934574,0.10326851717779495,0.11146757069160446
119,why is everyone choosing firstname?,50,0.9833595308139222,0.00043484887535771843,0.0017317456183443601
120,well now i feel bad,67,5.087048015533825,0.14435078155962877,0.2301835141326378
121,"guys, no",5,1.0605683194854783,0.205208544780914,0.2946860553045414
122,i wonder if the mob is purposefully not getting rid of people at night and instead trying to do it during the day? how many can be in the mafia? ,59,0.994916593687621,5.3227351407225676e-05,0.0006634340364248014
123,hola,34,0.7382498855342282,0.07283085333898498,0.11250250148932063
124,yeah he's been the first voter twice,44,19.31709750865907,0.08960500509557434,0.07372892858599005
125,what should we do now?,57,14.193644182406699,0.11646162728579768,0.09297271776846235
126,espinoze to make it seem less suspicious?,88,0.852237841147447,0.013903951446126994,0.044296930527068415
127,"ok, wow",13,1.0600684799413986,0.4906754271509429,0.26317258144691374
128,1 or more,43,6.1994707835149985,0.08109287134371623,0.07316604375454289
129,that would be a lonely night if there was only 1,85,0.9767730806522817,0.0005368409886564729,0.004378653868800222
130,i think it's random,65,6.027906346099924,0.040432843884765646,0.0933563229294365
131,whoa! i'm confused,73,12.15332456588784,0.0695331207995018,0.10830015599328739
132,lastname then,29,0.9164963076808441,0.01932649669438624,0.011152078440496593
133,there's at least 1,43,6.227948700861441,0.05261495399727334,0.07316604375454289
134,good for me,61,0.9980068893957634,0.00010365801212641745,0.0004004231617966437
135,yeah me too,15,0.5402068995570992,0.023620273592552476,0.16402510902448345
136,lastname's acting suspicious,69,16.449483410617514,0.049674248987322756,0.07553538449272867
137,"i'm not, but i certainly can see how it would be suspicious. at this point, i don't know what's going on",88,0.7704030150765334,0.06793087462478664,0.044296930527068415
138,so far we haven't found any mob goons,82,1.0368852412162806,0.10696471525049334,0.08167809042223624
139,"i keep having to scroll up to see how much time is lef, lol",56,5.925941550635445,0.09404566053259433,0.12126456610822209
140,left,70,7.362794360555181,0.2830100376967728,0.1833265899691134
141,i'm going with firstname on this one,17,0.9837832944604544,0.001278434113536342,0.0011995359741607035
142,firstname was the deciding vote last day.  could he be mafia?,4,0.9912638524118248,0.0008207296741722381,0.0007902048539898131
143,for having an opinion?  sure,57,14.317870142163459,0.007764332470962643,0.09297271776846235
144,maybe its you firstname,50,0.9860684952227712,0.0022741155334912166,0.0017317456183443601
145,i say lets get rid of firstname,77,0.48249466534349666,0.07704215418929311,0.07045117828295144
146,hey,11,0.19949824986211664,0.13963206899005245,0.2255175933785597
147,hi!,3,0.9999999540256894,3.0786965199425254e-09,3.801308636795539e-08
148,"so, how's all you'se doin'.",76,8.918079513207205,0.03055733326814014,0.09439722962112013
149,hi yall,3,0.9999999242269051,3.287748084890296e-08,3.801308636795539e-08
150,whodunnit,34,0.9296653236429523,0.1185845847697391,0.11250250148932063
151,is that english?,32,4.3886752139396945,0.05822873646864224,0.12984529980696805
152,colonel mustard in the library with the candlestick,14,6.281165899239123,0.30469744951558386,0.2234458287797907
153,wrong game,26,10.099818915522436,0.052940631019422923,0.07896401502203249
154,who's the mouthiest???,55,1.2393230829989779,0.30932371004835235,0.21782119477181203
155,you'se better not be think'in of pushin' a button on firstname lefty lastname!,38,0.9999999122558373,9.11232445055532e-09,4.443830107220432e-08
156,eyy fuggeddaboutit,68,0.8385870286360235,0.011046201615322437,0.04611008703408091
157,hey i'm just playin' wit' you'se.,28,19.116445044546584,0.01584046419884899,0.08485757669427652
158,who do you all want eliminate?,35,0.5040014826740717,0.00604036200513175,0.14858986104472496
159,just chat,21,0.9070926678466756,0.03269828995565771,0.034088833744323414
160,oh really,27,0.6734621430604253,0.03799830601176646,0.11967304922544206
161,going to eliminate you..ah aha,54,0.9276676245103214,0.019805619530249174,0.01173577092837348
162,hello,10,0.9982400858237978,3.392152144787719e-05,9.60678253491835e-05
163,matt has a lot to say...,21,0.9274723159980813,0.053077938107063405,0.034088833744323414
164,hey,11,0.19949824986211664,0.13963206899005245,0.2255175933785597
165,oh yeah,27,0.5734565076155745,0.1380039414566172,0.11967304922544206
166,"hi, i vote for firstname",20,0.7133040576884423,0.0447624504144859,0.12742356919596573
167,it's too dark to see the screen,86,2.97042196651528,0.0641201126327795,0.15091607254474984
168,yeah lets kill off firstname!,77,0.5981335868097666,0.03859676727697681,0.07045117828295144
169,who's next?,55,0.6096136630657777,0.3203857098848478,0.21782119477181203
170,he;s already dead..how about firstname,38,0.9999999246717444,2.1528231530787423e-08,4.443830107220432e-08
171,yeah! that guy's a rat fink.,94,0.9886341482190877,0.005366046762293353,0.0035384739643288476
172,damn those instant votes,44,19.266012168434166,0.0385196648706696,0.07372892858599005
173,i'm an upstandin' citzen!,28,19.098886410065667,0.001718170282067888,0.08485757669427652
174,peace out,70,7.316873086866215,0.23708876400780632,0.1833265899691134
175,a bidnessman!,34,0.9636307062594933,0.15254996738628013,0.11250250148932063
176,i hate the scrolling,47,2.9889221654748743,0.08006680195305949,0.12432866945770064
177,firstname is history,50,0.982691738078295,0.0011026416109849446,0.0017317456183443601
178,hi there,3,0.9999999544823684,2.622017492015516e-09,3.801308636795539e-08
179,hello,10,0.9982400858237978,3.392152144787719e-05,9.60678253491835e-05
180,hahahahaha,79,16.94563806926324,0.11454908462355817,0.11230814425092658
181,go for firstname,17,0.9841019281365522,0.000959800437438596,0.0011995359741607035
182,or firstname,17,0.9847923966004871,0.00026933197350365035,0.0011995359741607035
183,"any of you'se want a big screen tv, i got a bunch of 'em, 80% off!",15,0.9211532906516176,0.35732611750196586,0.16402510902448345
184,kill me first..hahahah,28,18.952747773797693,0.14785680655004185,0.08485757669427652
185,thank you,60,5.609896580977286,0.22200285332515524,0.13384689199071104
186,hello,10,0.9982400858237978,3.392152144787719e-05,9.60678253491835e-05
187,"firstname lastname was pretty quick to cast her vote, seems suspicious to me",20,0.9352515309600856,0.17718502285715743,0.12742356919596573
188,rip firstname,38,0.9999998730953127,3.004820015028997e-08,4.443830107220432e-08
189,i dindu nuffin,28,19.170544991925475,0.06994041157773978,0.08485757669427652
190,rip me,61,0.9971689988255202,0.0007342325581167763,0.0004004231617966437
191,gg mafia,25,21.506620030109072,0.12902274245502454,0.08362252477365324
192,i say firstname is next,17,0.9841345323729136,0.0009271962010771739,0.0011995359741607035
193,"pick one,  i can barely read the text",33,0.9883489608830538,0.003793379131193264,0.0029499722212482054
194,ok greg you;'re dead to me,94,0.9834052216957563,0.0001371202389619519,0.0035384739643288476
195,who got voted off the island?,85,0.9740491513698883,0.0021870882937369274,0.004378653868800222
196,that sounds suspicious...,88,0.7683394778767465,0.06999441182457355,0.044296930527068415
197,it seems like firstname lastname is trying to intimidate us!,69,16.546036582486774,0.04687892288193751,0.07553538449272867
198,sorry firstname :(,18,23.516480639001315,0.039726987055573204,0.10713513142133453
199,firstname is still trying to intimidate us!,69,16.521469738697206,0.02231207909236943,0.07553538449272867
200,firstname?,22,0.9987454647891159,6.884900424553031e-05,0.00010996045521027704
201,sorry firstname you seem to protest too much :(,18,23.709911570756258,0.15370394469936954,0.10713513142133453
202,firstname next...,22,0.9989527562788678,0.00013844248550642924,0.00010996045521027704
203,"sorry firstname, but you sound suspicious",69,16.483452753312417,0.015704906292420162,0.07553538449272867
204,see ya greg,49,1.7970659409404552,0.3447731561673162,0.23332272937932524
205,firstname was suicidial,50,0.9844685447872007,0.0006741650979207314,0.0017317456183443601
206,haha,79,16.747245692307697,0.08384329233198429,0.11230814425092658
207,'day fell off a truck.,85,0.9747447605487102,0.0014914791149150952,0.004378653868800222
208,:d,66,0.8241457956182225,0.04757679778857782,0.03630816106266816
209,firstname,22,0.9986897958519795,0.00012451794138190753,0.00010996045521027704
210,hi,3,0.9999999524373366,4.6670493025757764e-09,3.801308636795539e-08
211,hello,10,0.9982400858237978,3.392152144787719e-05,9.60678253491835e-05
212,hi,3,0.9999999524373366,4.6670493025757764e-09,3.801308636795539e-08
213,get ya,48,5.396180139167125,0.1605096087899014,0.12247827761503292
214,who now?,14,5.727306058720257,0.2491623910032823,0.2234458287797907
215,okays,13,0.9374289771798642,0.36803592438940846,0.26317258144691374
216,hey,11,0.19949824986211664,0.13963206899005245,0.2255175933785597
217,oh no!,27,0.7347673808201379,0.02330693174794618,0.11967304922544206
218,lolz,63,0.8542748744562378,0.09205902747220962,0.09912567052953475
219,terry has died :(,61,0.9982756308546669,0.0003723994710298495,0.0004004231617966437
220,hi,3,0.9999999524373366,4.6670493025757764e-09,3.801308636795539e-08
221,going very well,76,8.860876442276801,0.02664573766226397,0.09439722962112013
222,firstname next,29,0.9029491946157091,0.0057793836292512335,0.011152078440496593
223,wow what a game,26,10.044973020550895,0.10778652599096361,0.07896401502203249
224,hi,3,0.9999999524373366,4.6670493025757764e-09,3.801308636795539e-08
225,if you are in the mafia please say so,91,20.80503530806413,0.02069452706967212,0.06228404197891624
226,want to eliminate firstname?,77,0.5226425663033439,0.03689425322944584,0.07045117828295144
227,hello,10,0.9982400858237978,3.392152144787719e-05,9.60678253491835e-05
228,hey!,11,0.44616415285174277,0.10703383399957367,0.2255175933785597
229,how is everyone?,76,8.777785224985541,0.10973695495352409,0.09439722962112013
230,firstname,22,0.9986897958519795,0.00012451794138190753,0.00010996045521027704
231,who should we eliminate,35,0.3060366266840464,0.19192449398489358,0.14858986104472496
232,sounds good,51,0.977852045239518,0.0006705428965515514,0.0035668506079479297
233,firstname lastname,29,0.8864944081672624,0.010675402819195434,0.011152078440496593
234,hello,10,0.9982400858237978,3.392152144787719e-05,9.60678253491835e-05
235,"hello, who should we eliminate?",35,0.31078976576670525,0.18717135490223474,0.14858986104472496
236,poor firstname lol,9,1.7946656193229362,0.08058269196473611,0.09260394480264153
237,"hi, this is firstname, don't vote for me!",20,0.7960288676271379,0.03796235952420968,0.12742356919596573
238,i agree to eliminate firstname,77,0.5050600624786584,0.05447675705413135,0.07045117828295144
239,shall we vote out firstname lastname,2,15.910952493015092,0.12503325770553886,0.12074345399439528
240,who to vote out? firstname lastname?,2,15.949737476996019,0.08624827372461219,0.12074345399439528
241,vote out firstname,2,15.931695871584463,0.10428987913616794,0.12074345399439528
