,sentence,cluster,distance_from_cluster_center,cluster_average_distance_from_center,deviation_from_mean_dist_from_center,cluster_distance_std_from_center
0,hello,38,0.9998529520198447,0.9998556284412221,2.676421377412197e-06,9.128381402258601e-06
1,hello,38,0.9998529520198447,0.9998556284412221,2.676421377412197e-06,9.128381402258601e-06
2,if you can vote that means you must be in the mafia.,4,0.9999099019900518,0.9999138659910641,3.964001012324303e-06,1.1829925927452053e-05
3,looks like this should be a win for the mafia if i'm eliminated,4,0.9999076628296865,0.9999138659910641,6.203161377671407e-06,1.1829925927452053e-05
4,??,42,0.6699464123731962,0.7288500485240419,0.058903636150845706,0.08087317773406773
5,i'm legitimately ignorant but ok,75,0.9992823927932102,0.9991416250715757,0.000140767721634516,0.00017998588292276248
6,"i don't really understand how we're supposed to know who to vote for, i just chose firstname lastname at random..",57,4.440620261098809,4.384021632424081,0.056598628674728424,0.08720352297895374
7,"right, and he said he chose byrce",76,0.999778761596384,0.9997187662537166,5.999534266742934e-05,6.185545168199347e-05
8,you couldn't have chosen firstname in the last phase as a bystander,72,0.9922925481614201,0.9925341568249711,0.0002416086635510517,0.0007706691041675868
9,hi,8,0.9999974235229239,0.999997510901533,8.737860912599871e-08,1.765725298009044e-07
10,hi,8,0.9999974235229239,0.999997510901533,8.737860912599871e-08,1.765725298009044e-07
11,sure,31,1.6182705579872478,1.68462537176191,0.06635481377466212,0.1321382238159041
12,"yeah tons of errors in console, oh well messaging req",29,0.9873177105443283,0.9863206107627364,0.0009970997815919036,0.0013897498500105056
13,hey,73,1.7146920121417615,1.7733712344215644,0.058679222279802934,0.12061786710499356
14,"nice, the feigning ignorance angle",75,0.9993759016621568,0.9991416250715757,0.00023427659058117278,0.00017998588292276248
15,:),77,0.6156269265830645,0.7867987614941969,0.17117183491113241,0.109258978946696
16,lol,34,0.36184203529942616,0.4068941663281988,0.045052131028772646,0.11696843987195475
17,"i say we leave up firstname, his shtick is too terrible",1,0.9511062834249827,0.9528044425537741,0.0016981591287913433,0.004265219544808686
18,yeah perhaps vote her out,60,0.7079196086247858,0.694211056443946,0.013708552180839773,0.04514529488419193
19,yo,5,0.9535788934308762,0.9664023612777154,0.012823467846839187,0.008483793331903746
20,who shall we knock off first? firstname?,53,0.999997561121314,0.9999977717577576,2.1063644362051548e-07,2.3375600518710038e-07
21,"right. so, should we just sit back and let them eat themselves?",30,0.846344283661119,0.8268573241750891,0.019486959486029964,0.04992921205946025
22,hi,8,0.9999974235229239,0.999997510901533,8.737860912599871e-08,1.765725298009044e-07
23,ok. nice being a criminal with you.,4,0.999937450820082,0.9999138659910641,2.3584829017875286e-05,1.1829925927452053e-05
24,firstname is too wise,82,0.9998485334983885,0.999850210406959,1.676908570447111e-06,9.529730017608334e-06
25,firstname lastname said only hello,51,0.9999113664614409,0.9999130636934231,1.6972319822894377e-06,6.687429383198461e-06
26,hi,8,0.9999974235229239,0.999997510901533,8.737860912599871e-08,1.765725298009044e-07
27,that is not the lastname.,23,2.1742594134498017,1.962241448632654,0.21201796481714763,0.12492026798941329
28,"that's only in the nighttime, firstname.",53,0.9999980542018146,0.9999977717577576,2.8244405703148345e-07,2.3375600518710038e-07
29,has anyone not talked yet,58,0.7532675246477872,0.9268439887271519,0.17357646407936467,0.13259817901605783
30,and firstname i think,98,0.857581252916274,0.8605426550854535,0.0029614021691795056,0.016471891065239226
31,is it stuck?,29,0.9876666867988221,0.9863206107627364,0.0013460760360857194,0.0013897498500105056
32,rip,67,0.9973215456538578,0.9979666090711544,0.000645063417296643,0.0003859492433240073
33,somebody must have dropped or something,65,0.837376091925142,0.8724018873219016,0.03502579539675965,0.022642954448292816
34,hard to tell. i have to keep scanning,70,0.8973968633600184,0.8824358395546856,0.014961023805332818,0.030485003112308548
35,hello?,38,0.9998703198667988,0.9998556284412221,1.4691425576640604e-05,9.128381402258601e-06
